X, Y
22265, 44533;
969, 1941;
21421, 42845;
25268, 50539;
29817, 59637;
4556, 9115;
21599, 43201;
17846, 35695;
27758, 55519;
22076, 44155;
21600, 43203;
26366, 52735;
2289, 4581;
21215, 42433;
28208, 56419;
22432, 44867;
13592, 27187;
11140, 22283;
18228, 36459;
13561, 27125;
12314, 24631;
7317, 14637;
1742, 3487;
29670, 59343;
1668, 3339;
16364, 32731;
8655, 17313;
27699, 55401;
2507, 5017;
5095, 10193;
346, 695;
14423, 28849;
27986, 55975;
911, 1825;
28363, 56729;
15710, 31423;
4718, 9439;
6165, 12333;
25352, 50707;
28454, 56911;
16856, 33715;
27342, 54687;
14903, 29809;
9422, 18847;
29572, 59147;
20769, 41541;
15232, 30467;
4460, 8923;
13440, 26883;
28910, 57823;
19988, 39979;
13566, 27135;
9246, 18495;
20050, 40103;
2622, 5247;
22948, 45899;
19541, 39085;
21112, 42227;
16089, 32181;
28940, 57883;
22885, 45773;
13490, 26983;
29234, 58471;
26157, 52317;
29882, 59767;
1176, 2355;
18415, 36833;
14136, 28275;
18195, 36393;
2144, 4291;
27232, 54467;
27595, 55193;
26083, 52169;
15038, 30079;
773, 1549;
15208, 30419;
12279, 24561;
17662, 35327;
26177, 52357;
759, 1521;
23898, 47799;
10560, 21123;
11901, 23805;
4519, 9041;
18038, 36079;
10323, 20649;
28752, 57507;
17482, 34967;
9851, 19705;
2694, 5391;
26125, 52253;
18594, 37191;
23813, 47629;
13483, 26969;
21438, 42879;
5926, 11855;
29433, 58869;
5516, 11035;
21280, 42563;
5162, 10327;
26287, 52577;
25954, 51911;
8430, 16863;
14350, 28703;
855, 1713;
26036, 52075;
20322, 40647;
1973, 3949;
18325, 36653;
12957, 25917;
506, 1015;
28984, 57971;
8047, 16097;
9505, 19013;
5752, 11507;
24796, 49595;
57, 117;
12225, 24453;
24364, 48731;
8770, 17543;
24302, 48607;
26957, 53917;
21109, 42221;
25054, 50111;
26610, 53223;
14842, 29687;
21382, 42767;
25258, 50519;
16854, 33711;
24245, 48493;
822, 1647;
15388, 30779;
22924, 45851;
14006, 28015;
28986, 57975;
13397, 26797;
6395, 12793;
3927, 7857;
29895, 59793;
2715, 5433;
22437, 44877;
25127, 50257;
22067, 44137;
17929, 35861;
16007, 32017;
14650, 29303;
10251, 20505;
23685, 47373;
9024, 18051;
11716, 23435;
4235, 8473;
17907, 35817;
7798, 15599;
13542, 27087;
13081, 26165;
20392, 40787;
24950, 49903;
11976, 23955;
21266, 42535;
17442, 34887;
3866, 7735;
27624, 55251;
5065, 10133;
15094, 30191;
7152, 14307;
7346, 14695;
1181, 2365;
9481, 18965;
1128, 2259;
24400, 48803;
4459, 8921;
26883, 53769;
4462, 8927;
24515, 49033;
24180, 48363;
9217, 18437;
21098, 42199;
15923, 31849;
1041, 2085;
25227, 50457;
22084, 44171;
12163, 24329;
1987, 3977;
26053, 52109;
25051, 50105;
3113, 6229;
11007, 22017;
18665, 37333;
17623, 35249;
16701, 33405;
26603, 53209;
6900, 13803;
23693, 47389;
22479, 44961;
34, 71;
16544, 33091;
15908, 31819;
1662, 3327;
3374, 6751;
12947, 25897;
19446, 38895;
326, 655;
16983, 33969;
27606, 55215;
14905, 29813;
1642, 3287;
19014, 38031;
7304, 14611;
18143, 36289;
4275, 8553;
5151, 10305;
29908, 59819;
10426, 20855;
1575, 3153;
20719, 41441;
7200, 14403;
1204, 2411;
7357, 14717;
20785, 41573;
10375, 20753;
8542, 17087;
25472, 50947;
23448, 46899;
10890, 21783;
2759, 5521;
16658, 33319;
24840, 49683;
8450, 16903;
25712, 51427;
10051, 20105;
12773, 25549;
26969, 53941;
2781, 5565;
9442, 18887;
6289, 12581;
2762, 5527;
11086, 22175;
18900, 37803;
2048, 4099;
9478, 18959;
23471, 46945;
4450, 8903;
383, 769;
14665, 29333;
18669, 37341;
18135, 36273;
27908, 55819;
26476, 52955;
2907, 5817;
6219, 12441;
12471, 24945;
28012, 56027;
6739, 13481;
19386, 38775;
11169, 22341;
6731, 13465;
8992, 17987;
19033, 38069;
3828, 7659;
21509, 43021;
18203, 36409;
249, 501;
8827, 17657;
14789, 29581;
1301, 2605;
2204, 4411;
6435, 12873;
13913, 27829;
20981, 41965;
8856, 17715;
3771, 7545;
5859, 11721;
9378, 18759;
9450, 18903;
4856, 9715;
1186, 2375;
1012, 2027;
19132, 38267;
26044, 52091;
10769, 21541;
3846, 7695;
13434, 26871;
18583, 37169;
14974, 29951;
26366, 52735;
29714, 59431;
2447, 4897;
110, 223;
17360, 34723;
6731, 13465;
11036, 22075;
95, 193;
12911, 25825;
11863, 23729;
19831, 39665;
782, 1567;
23909, 47821;
17323, 34649;
15636, 31275;
17370, 34743;
12150, 24303;
8718, 17439;
19053, 38109;
12168, 24339;
2432, 4867;
13296, 26595;
20226, 40455;
9304, 18611;
4006, 8015;
12030, 24063;
926, 1855;
10871, 21745;
20909, 41821;
10995, 21993;
3035, 6073;
22183, 44369;
21158, 42319;
6833, 13669;
23272, 46547;
11245, 22493;
13262, 26527;
23440, 46883;
21898, 43799;
17801, 35605;
1714, 3431;
20214, 40431;
21857, 43717;
23851, 47705;
2711, 5425;
12840, 25683;
29037, 58077;
356, 715;
22808, 45619;
10335, 20673;
12241, 24485;
4187, 8377;
17937, 35877;
11039, 22081;
1238, 2479;
19137, 38277;
396, 795;
21700, 43403;
17202, 34407;
4871, 9745;
29722, 59447;
14686, 29375;
24971, 49945;
11470, 22943;
15509, 31021;
16830, 33663;
14647, 29297;
4255, 8513;
6371, 12745;
15569, 31141;
8774, 17551;
10204, 20411;
14381, 28765;
6957, 13917;
4290, 8583;
1270, 2543;
22385, 44773;
2282, 4567;
5941, 11885;
27617, 55237;
757, 1517;
22963, 45929;
29292, 58587;
16069, 32141;
27165, 54333;
1516, 3035;
635, 1273;
8951, 17905;
11438, 22879;
24886, 49775;
21761, 43525;
29223, 58449;
27412, 54827;
8546, 17095;
9389, 18781;
19419, 38841;
6161, 12325;
12130, 24263;
29185, 58373;
23324, 46651;
27863, 55729;
28854, 57711;
6486, 12975;
9326, 18655;
20264, 40531;
6693, 13389;
2593, 5189;
28678, 57359;
25276, 50555;
2970, 5943;
884, 1771;
9272, 18547;
18915, 37833;
7729, 15461;
1176, 2355;
9263, 18529;
22891, 45785;
6290, 12583;
2553, 5109;
1760, 3523;
17348, 34699;
15742, 31487;
7570, 15143;
14912, 29827;
2610, 5223;
10407, 20817;
9291, 18585;
26293, 52589;
27747, 55497;
28101, 56205;
1744, 3491;
9931, 19865;
2114, 4231;
11750, 23503;
14020, 28043;
26409, 52821;
26603, 53209;
5893, 11789;
6, 15;
707, 1417;
7999, 16001;
479, 961;
2563, 5129;
28497, 56997;
8091, 16185;
8706, 17415;
24940, 49883;
3583, 7169;
19396, 38795;
1783, 3569;
20825, 41653;
29798, 59599;
25158, 50319;
5825, 11653;
13677, 27357;
16827, 33657;
19917, 39837;
6358, 12719;
9068, 18139;
21574, 43151;
21715, 43433;
19214, 38431;
11563, 23129;
29462, 58927;
27771, 55545;
12042, 24087;
27288, 54579;
16372, 32747;
12989, 25981;
8438, 16879;
25849, 51701;
1429, 2861;
21444, 42891;
14178, 28359;
18297, 36597;
13844, 27691;
24212, 48427;
21837, 43677;
944, 1891;
11679, 23361;
19696, 39395;
8835, 17673;
674, 1351;
3440, 6883;
17019, 34041;
24106, 48215;
26907, 53817;
17150, 34303;
18205, 36413;
16279, 32561;
22809, 45621;
3957, 7917;
168, 339;
22886, 45775;
20123, 40249;
9060, 18123;
12220, 24443;
13001, 26005;
6360, 12723;
8886, 17775;
29672, 59347;
2848, 5699;
24451, 48905;
9444, 18891;
6929, 13861;
1690, 3383;
3406, 6815;
1385, 2773;
24, 51;
27707, 55417;
17325, 34653;
6261, 12525;
15543, 31089;
3151, 6305;
15324, 30651;
6117, 12237;
12972, 25947;
18654, 37311;
14627, 29257;
23667, 47337;
12314, 24631;
28305, 56613;
28761, 57525;
14122, 28247;
13100, 26203;
28404, 56811;
2215, 4433;
2542, 5087;
4347, 8697;
1692, 3387;
6542, 13087;
10073, 20149;
946, 1895;
27818, 55639;
18987, 37977;
28952, 57907;
25584, 51171;
8896, 17795;
138, 279;
3640, 7283;
4461, 8925;
24308, 48619;
1066, 2135;
18411, 36825;
20193, 40389;
15923, 31849;
3855, 7713;
2175, 4353;
5409, 10821;
20488, 40979;
23053, 46109;
4225, 8453;
8587, 17177;
1597, 3197;
2100, 4203;
3661, 7325;
17317, 34637;
9697, 19397;
11479, 22961;
12714, 25431;
11777, 23557;
20666, 41335;
14529, 29061;
2500, 5003;
20068, 40139;
8381, 16765;
13178, 26359;
24217, 48437;
28966, 57935;
1004, 2011;
6598, 13199;
9577, 19157;
13276, 26555;
27039, 54081;
1391, 2785;
6503, 13009;
2869, 5741;
16598, 33199;
580, 1163;
19637, 39277;
24610, 49223;
12494, 24991;
13410, 26823;
17807, 35617;
2106, 4215;
16338, 32679;
13234, 26471;
1687, 3377;
7516, 15035;
23636, 47275;
16563, 33129;
19057, 38117;
870, 1743;
1804, 3611;
13946, 27895;
10719, 21441;
21573, 43149;
18048, 36099;
24055, 48113;
17872, 35747;
22910, 45823;
1477, 2957;
1657, 3317;
17380, 34763;
7341, 14685;
3173, 6349;
1908, 3819;
20051, 40105;
19836, 39675;
8417, 16837;
3971, 7945;
14047, 28097;
7671, 15345;
27736, 55475;
25769, 51541;
17927, 35857;
9453, 18909;
6505, 13013;
1196, 2395;
2686, 5375;
16281, 32565;
13430, 26863;
2196, 4395;
15579, 31161;
13953, 27909;
19706, 39415;
18112, 36227;
2962, 5927;
10655, 21313;
16668, 33339;
16426, 32855;
25379, 50761;
1983, 3969;
26500, 53003;
15580, 31163;
1681, 3365;
5416, 10835;
2925, 5853;
21234, 42471;
3094, 6191;
17790, 35583;
28411, 56825;
9426, 18855;
4629, 9261;
27879, 55761;
18383, 36769;
15210, 30423;
16464, 32931;
3181, 6365;
27098, 54199;
21945, 43893;
26971, 53945;
15780, 31563;
5230, 10463;
20881, 41765;
24657, 49317;
396, 795;
5531, 11065;
4507, 9017;
22213, 44429;
392, 787;
14264, 28531;
1179, 2361;
22267, 44537;
15024, 30051;
11584, 23171;
12789, 25581;
11864, 23731;
1381, 2765;
28384, 56771;
28529, 57061;
23576, 47155;
467, 937;
16333, 32669;
9275, 18553;
22591, 45185;
2571, 5145;
19547, 39097;
15662, 31327;
18130, 36263;
10114, 20231;
5836, 11675;
13905, 27813;
27462, 54927;
16068, 32139;
9829, 19661;
23970, 47943;
28729, 57461;
18301, 36605;
11464, 22931;
13075, 26153;
22368, 44739;
682, 1367;
5501, 11005;
2515, 5033;
9665, 19333;
1307, 2617;
13266, 26535;
20174, 40351;
8226, 16455;
15931, 31865;
741, 1485;
6263, 12529;
11201, 22405;
14803, 29609;
11263, 22529;
25541, 51085;
10053, 20109;
6972, 13947;
18211, 36425;
8827, 17657;
20469, 40941;
13043, 26089;
2535, 5073;
2429, 4861;
1832, 3667;
2322, 4647;
22659, 45321;
592, 1187;
3068, 6139;
18973, 37949;
27944, 55891;
15153, 30309;
2075, 4153;
2075, 4153;
2451, 4905;
25177, 50357;
14299, 28601;
19910, 39823;
26337, 52677;
28783, 57569;
25813, 51629;
25955, 51913;
22437, 44877;
15758, 31519;
19577, 39157;
14773, 29549;
20536, 41075;
11640, 23283;
16655, 33313;
6959, 13921;
18768, 37539;
22492, 44987;
13857, 27717;
16266, 32535;
12500, 25003;
1492, 2987;
22503, 45009;
19302, 38607;
23791, 47585;
10418, 20839;
14083, 28169;
7988, 15979;
13668, 27339;
11772, 23547;
23663, 47329;
27475, 54953;
1825, 3653;
21685, 43373;
22963, 45929;
20345, 40693;
13846, 27695;
26590, 53183;
10587, 21177;
2389, 4781;
16711, 33425;
573, 1149;
29608, 59219;
323, 649;
19744, 39491;
16221, 32445;
2950, 5903;
27999, 56001;
10249, 20501;
2214, 4431;
14270, 28543;
12813, 25629;
2059, 4121;
5838, 11679;
7277, 14557;
2424, 4851;
10706, 21415;
11968, 23939;
22709, 45421;
12426, 24855;
26659, 53321;
893, 1789;
11442, 22887;
14908, 29819;
17743, 35489;
23408, 46819;
15279, 30561;
6398, 12799;
5401, 10805;
1269, 2541;
16026, 32055;
22361, 44725;
22516, 45035;
15885, 31773;
15030, 30063;
17363, 34729;
18272, 36547;
19323, 38649;
4240, 8483;
5139, 10281;
1863, 3729;
26867, 53737;
516, 1035;
17221, 34445;
25795, 51593;
28836, 57675;
14240, 28483;
12224, 24451;
1059, 2121;
1539, 3081;
15481, 30965;
15334, 30671;
27662, 55327;
10170, 20343;
18941, 37885;
284, 571;
16199, 32401;
9489, 18981;
29241, 58485;
3356, 6715;
1633, 3269;
24652, 49307;
6524, 13051;
4279, 8561;
676, 1355;
1876, 3755;
7947, 15897;
18846, 37695;
26528, 53059;
683, 1369;
2278, 4559;
9618, 19239;
9154, 18311;
8634, 17271;
1467, 2937;
2762, 5527;
24853, 49709;
18013, 36029;
12394, 24791;
18822, 37647;
18843, 37689;
13202, 26407;
4537, 9077;
21266, 42535;
11212, 22427;
1421, 2845;
13369, 26741;
16333, 32669;
13358, 26719;
5152, 10307;
136, 275;
25242, 50487;
25894, 51791;
18265, 36533;
21224, 42451;
2742, 5487;
16654, 33311;
2044, 4091;
527, 1057;
923, 1849;
23175, 46353;
24195, 48393;
9729, 19461;
19493, 38989;
16145, 32293;
25779, 51561;
11596, 23195;
18676, 37355;
28633, 57269;
16129, 32261;
12722, 25447;
225, 453;
23761, 47525;
12645, 25293;
27612, 55227;
23508, 47019;
5638, 11279;
20622, 41247;
3916, 7835;
19205, 38413;
10031, 20065;
16165, 32333;
8852, 17707;
9281, 18565;
20865, 41733;
20566, 41135;
10181, 20365;
11935, 23873;
6091, 12185;
13197, 26397;
10539, 21081;
16788, 33579;
20670, 41343;
3453, 6909;
2311, 4625;
17940, 35883;
13196, 26395;
8807, 17617;
23741, 47485;
21242, 42487;
4790, 9583;
105, 213;
2656, 5315;
26794, 53591;
14622, 29247;
565, 1133;
16970, 33943;
4085, 8173;
7524, 15051;
28979, 57961;
8992, 17987;
24637, 49277;
24431, 48865;
28841, 57685;
14644, 29291;
12505, 25013;
17482, 34967;
4170, 8343;
973, 1949;
1162, 2327;
9266, 18535;
18221, 36445;
15813, 31629;
10063, 20129;
2493, 4989;
1745, 3493;
8354, 16711;
26023, 52049;
10845, 21693;
2605, 5213;
15271, 30545;
9942, 19887;
20308, 40619;
1020, 2043;
11611, 23225;
26777, 53557;
10410, 20823;
26504, 53011;
28778, 57559;
2061, 4125;
14477, 28957;
6326, 12655;
23451, 46905;
23484, 46971;
26649, 53301;
10036, 20075;
24066, 48135;
15146, 30295;
17704, 35411;
4158, 8319;
19319, 38641;
2079, 4161;
21100, 42203;
5014, 10031;
19783, 39569;
11414, 22831;
7611, 15225;
16517, 33037;
19241, 38485;
4390, 8783;
4265, 8533;
21533, 43069;
24691, 49385;
8526, 17055;
12124, 24251;
19650, 39303;
12685, 25373;
20774, 41551;
14748, 29499;
22249, 44501;
13734, 27471;
1395, 2793;
25130, 50263;
494, 991;
18599, 37201;
11724, 23451;
4179, 8361;
5452, 10907;
6501, 13005;
18939, 37881;
24516, 49035;
19769, 39541;
18459, 36921;
24230, 48463;
21152, 42307;
10320, 20643;
18711, 37425;
7471, 14945;
27088, 54179;
9379, 18761;
24499, 49001;
17112, 34227;
6043, 12089;
11568, 23139;
17799, 35601;
29483, 58969;
16502, 33007;
26467, 52937;
20957, 41917;
4505, 9013;
15901, 31805;
1197, 2397;
13669, 27341;
24161, 48325;
6370, 12743;
12404, 24811;
7723, 15449;
23219, 46441;
27461, 54925;
8571, 17145;
22469, 44941;
14357, 28717;
9158, 18319;
14403, 28809;
15313, 30629;
22279, 44561;
6391, 12785;
18657, 37317;
1695, 3393;
6370, 12743;
9173, 18349;
4402, 8807;
25642, 51287;
2310, 4623;
13400, 26803;
19229, 38461;
18765, 37533;
8500, 17003;
5193, 10389;
13336, 26675;
27955, 55913;
11577, 23157;
19540, 39083;
11758, 23519;
480, 963;
4557, 9117;
24414, 48831;
23743, 47489;
13326, 26655;
1418, 2839;
20505, 41013;
26184, 52371;
27019, 54041;
13377, 26757;
9429, 18861;
13924, 27851;
6017, 12037;
13241, 26485;
23961, 47925;
27859, 55721;
16197, 32397;
4985, 9973;
4210, 8423;
22587, 45177;
629, 1261;
1528, 3059;
8203, 16409;
8812, 17627;
11819, 23641;
1075, 2153;
16510, 33023;
4584, 9171;
1655, 3313;
15183, 30369;
15978, 31959;
1187, 2377;
26125, 52253;
2128, 4259;
15430, 30863;
2055, 4113;
1594, 3191;
14889, 29781;
23028, 46059;
12859, 25721;
797, 1597;
16709, 33421;
1385, 2773;
8357, 16717;
28691, 57385;
22021, 44045;
7341, 14685;
16302, 32607;
4211, 8425;
21690, 43383;
798, 1599;
16325, 32653;
2172, 4347;
28662, 57327;
22490, 44983;
23462, 46927;
6795, 13593;
18670, 37343;
24252, 48507;
21468, 42939;
17553, 35109;
26403, 52809;
12934, 25871;
17284, 34571;
20933, 41869;
21314, 42631;
14913, 29829;
12885, 25773;
13462, 26927;
22856, 45715;
26624, 53251;
2013, 4029;
15588, 31179;
13801, 27605;
16572, 33147;
17421, 34845;
2367, 4737;
13107, 26217;
5723, 11449;
8440, 16883;
1632, 3267;
831, 1665;
10258, 20519;
472, 947;
26663, 53329;
4424, 8851;
7405, 14813;
21330, 42663;
6356, 12715;
28719, 57441;
3244, 6491;
16635, 33273;
29290, 58583;
28669, 57341;
2769, 5541;
25626, 51255;
28064, 56131;
6362, 12727;
26615, 53233;
20400, 40803;
778, 1559;
11358, 22719;
7525, 15053;
7605, 15213;
4936, 9875;
15607, 31217;
5859, 11721;
24997, 49997;
8062, 16127;
21643, 43289;
20173, 40349;
9275, 18553;
26116, 52235;
28254, 56511;
28773, 57549;
19580, 39163;
14174, 28351;
18485, 36973;
29805, 59613;
6648, 13299;
5998, 11999;
20156, 40315;
27638, 55279;
5197, 10397;
2488, 4979;
10533, 21069;
28019, 56041;
5100, 10203;
20743, 41489;
10258, 20519;
22545, 45093;
18464, 36931;
22910, 45823;
7093, 14189;
24907, 49817;
24140, 48283;
26290, 52583;
21813, 43629;
8376, 16755;
11892, 23787;
21542, 43087;
22356, 44715;
3624, 7251;
4350, 8703;
6454, 12911;
1312, 2627;
9712, 19427;
16826, 33655;
12297, 24597;
1798, 3599;
10114, 20231;
29729, 59461;
26817, 53637;
3421, 6845;
8769, 17541;
1962, 3927;
1988, 3979;
1202, 2407;
17555, 35113;
13443, 26889;
560, 1123;
11952, 23907;
8503, 17009;
637, 1277;
17370, 34743;
9107, 18217;
24281, 48565;
26664, 53331;
1624, 3251;
20845, 41693;
1507, 3017;
21378, 42759;
16720, 33443;
27864, 55731;
24727, 49457;
25290, 50583;
17040, 34083;
13324, 26651;
8539, 17081;
617, 1237;
12304, 24611;
21508, 43019;
17235, 34473;
23124, 46251;
17205, 34413;
10460, 20923;
22837, 45677;
7595, 15193;
9079, 18161;
23934, 47871;
15961, 31925;
23397, 46797;
16404, 32811;
11901, 23805;
24080, 48163;
11872, 23747;
29190, 58383;
21569, 43141;
1335, 2673;
3539, 7081;
1283, 2569;
22629, 45261;
29196, 58395;
28119, 56241;
12261, 24525;
23133, 46269;
5696, 11395;
18726, 37455;
29561, 59125;
1884, 3771;
16205, 32413;
754, 1511;
14683, 29369;
18804, 37611;
6409, 12821;
1001, 2005;
16690, 33383;
29184, 58371;
15995, 31993;
3527, 7057;
19799, 39601;
25407, 50817;
19694, 39391;
21020, 42043;
28300, 56603;
2065, 4133;
11589, 23181;
12352, 24707;
14315, 28633;
20999, 42001;
1934, 3871;
21973, 43949;
28444, 56891;
25830, 51663;
5338, 10679;
3708, 7419;
3275, 6553;
1020, 2043;
17227, 34457;
10138, 20279;
8537, 17077;
13318, 26639;
24686, 49375;
16732, 33467;
29138, 58279;
5537, 11077;
15819, 31641;
12536, 25075;
24864, 49731;
3472, 6947;
955, 1913;
22582, 45167;
1102, 2207;
11886, 23775;
9850, 19703;
5680, 11363;
10799, 21601;
17604, 35211;
12669, 25341;
13653, 27309;
3439, 6881;
21804, 43611;
23814, 47631;
1412, 2827;
19114, 38231;
17847, 35697;
8693, 17389;
14968, 29939;
26860, 53723;
13965, 27933;
16353, 32709;
5550, 11103;
9625, 19253;
19923, 39849;
26983, 53969;
17743, 35489;
9054, 18111;
1442, 2887;
2754, 5511;
5754, 11511;
1383, 2769;
29781, 59565;
24220, 48443;
1745, 3493;
19154, 38311;
290, 583;
17700, 35403;
22823, 45649;
2356, 4715;
717, 1437;
4449, 8901;
27048, 54099;
3707, 7417;
10746, 21495;
16582, 33167;
27386, 54775;
24900, 49803;
7586, 15175;
20742, 41487;
27347, 54697;
1022, 2047;
5063, 10129;
10282, 20567;
24299, 48601;
15775, 31553;
15499, 31001;
17120, 34243;
27139, 54281;
15333, 30669;
20302, 40607;
7446, 14895;
29222, 58447;
29807, 59617;
29463, 58929;
2247, 4497;
27695, 55393;
2109, 4221;
1589, 3181;
26389, 52781;
139, 281;
23189, 46381;
2342, 4687;
617, 1237;
27968, 55939;
1480, 2963;
12471, 24945;
12791, 25585;
18734, 37471;
27476, 54955;
25453, 50909;
23989, 47981;
3221, 6445;
5755, 11513;
9764, 19531;
23629, 47261;
728, 1459;
2772, 5547;
15350, 30703;
22912, 45827;
2433, 4869;
19792, 39587;
2094, 4191;
21998, 43999;
16516, 33035;
22688, 45379;
10909, 21821;
16356, 32715;
4040, 8083;
7334, 14671;
15709, 31421;
3701, 7405;
9699, 19401;
4649, 9301;
2149, 4301;
4812, 9627;
21542, 43087;
14028, 28059;
23980, 47963;
29632, 59267;
27609, 55221;
1345, 2693;
25057, 50117;
1961, 3925;
199, 401;
15802, 31607;
5866, 11735;
114, 231;
13566, 27135;
4768, 9539;
23515, 47033;
7664, 15331;
29136, 58275;
3464, 6931;
842, 1687;
23154, 46311;
12829, 25661;
16483, 32969;
4017, 8037;
17818, 35639;
16853, 33709;
5876, 11755;
3859, 7721;
363, 729;
5816, 11635;
23688, 47379;
23011, 46025;
5538, 11079;
9824, 19651;
18913, 37829;
14625, 29253;
3402, 6807;
23938, 47879;
12147, 24297;
14278, 28559;
4747, 9497;
7281, 14565;
4051, 8105;
9058, 18119;
1939, 3881;
23779, 47561;
15980, 31963;
4, 11;
1240, 2483;
25848, 51699;
22132, 44267;
29530, 59063;
5068, 10139;
11128, 22259;
7710, 15423;
27417, 54837;
24465, 48933;
20828, 41659;
10769, 21541;
671, 1345;
18975, 37953;
21649, 43301;
21786, 43575;
27608, 55219;
14021, 28045;
24568, 49139;
24605, 49213;
24414, 48831;
18876, 37755;
23729, 47461;
20050, 40103;
22500, 45003;
17922, 35847;
10393, 20789;
20909, 41821;
7380, 14763;
2101, 4205;
5649, 11301;
23454, 46911;
24631, 49265;
1758, 3519;
6402, 12807;
9723, 19449;
29654, 59311;
12065, 24133;
17694, 35391;
18491, 36985;
22942, 45887;
22386, 44775;
360, 723;
11492, 22987;
13129, 26261;
14010, 28023;
5366, 10735;
1558, 3119;
21819, 43641;
12506, 25015;
28917, 57837;
18794, 37591;
170, 343;
14399, 28801;
23535, 47073;
10822, 21647;
2306, 4615;
28087, 56177;
25161, 50325;
27698, 55399;
26760, 53523;
29315, 58633;
12304, 24611;
7072, 14147;
2109, 4221;
8365, 16733;
14325, 28653;
7687, 15377;
16133, 32269;
7580, 15163;
19349, 38701;
1008, 2019;
19464, 38931;
1461, 2925;
2302, 4607;
6741, 13485;
20569, 41141;
22884, 45771;
16751, 33505;
12919, 25841;
3030, 6063;
17036, 34075;
15712, 31427;
1151, 2305;
24911, 49825;
11259, 22521;
450, 903;
28599, 57201;
26090, 52183;
22865, 45733;
1368, 2739;
27721, 55445;
2709, 5421;
4163, 8329;
11878, 23759;
5080, 10163;
22494, 44991;
21227, 42457;
24537, 49077;
1151, 2305;
9008, 18019;
5218, 10439;
16231, 32465;
20279, 40561;
1823, 3649;
7057, 14117;
4904, 9811;
4428, 8859;
7446, 14895;
2116, 4235;
597, 1197;
16914, 33831;
22895, 45793;
11904, 23811;
7488, 14979;
2260, 4523;
22931, 45865;
15383, 30769;
10421, 20845;
12045, 24093;
23906, 47815;
23673, 47349;
5727, 11457;
730, 1463;
28629, 57261;
20173, 40349;
18589, 37181;
15792, 31587;
737, 1477;
8769, 17541;
8886, 17775;
17226, 34455;
671, 1345;
3230, 6463;
21787, 43577;
19686, 39375;
9131, 18265;
3871, 7745;
16109, 32221;
21681, 43365;
28874, 57751;
23939, 47881;
2239, 4481;
21888, 43779;
23503, 47009;
15201, 30405;
23709, 47421;
12992, 25987;
21951, 43905;
17340, 34683;
24397, 48797;
23728, 47459;
12851, 25705;
20183, 40369;
20180, 40363;
1230, 2463;
23038, 46079;
27210, 54423;
27197, 54397;
350, 703;
4368, 8739;
5974, 11951;
1685, 3373;
26706, 53415;
21402, 42807;
17270, 34543;
10, 23;
22679, 45361;
3699, 7401;
12086, 24175;
8022, 16047;
19308, 38619;
14011, 28025;
14152, 28307;
1398, 2799;
1785, 3573;
1214, 2431;
13269, 26541;
15232, 30467;
22365, 44733;
22042, 44087;
25105, 50213;
26644, 53291;
20744, 41491;
1525, 3053;
3090, 6183;
12530, 25063;
27403, 54809;
29577, 59157;
25314, 50631;
13004, 26011;
2732, 5467;
24113, 48229;
16083, 32169;
1405, 2813;
9598, 19199;
8297, 16597;
14866, 29735;
15435, 30873;
15537, 31077;
2112, 4227;
22911, 45825;
15209, 30421;
102, 207;
28209, 56421;
14268, 28539;
1728, 3459;
10613, 21229;
6659, 13321;
26244, 52491;
28144, 56291;
1378, 2759;
28398, 56799;
1295, 2593;
14737, 29477;
18558, 37119;
8959, 17921;
29651, 59305;
15806, 31615;
21114, 42231;
1470, 2943;
1932, 3867;
164, 331;
2513, 5029;
6669, 13341;
10591, 21185;
3447, 6897;
20662, 41327;
1875, 3753;
13723, 27449;
1446, 2895;
10140, 20283;
9690, 19383;
28578, 57159;
3632, 7267;
8837, 17677;
10870, 21743;
17671, 35345;
6808, 13619;
13517, 27037;
13672, 27347;
9752, 19507;
7157, 14317;
17479, 34961;
18561, 37125;
13165, 26333;
2332, 4667;
25464, 50931;
26763, 53529;
27073, 54149;
27202, 54407;
1747, 3497;
28132, 56267;
16385, 32773;
15068, 30139;
2101, 4205;
18540, 37083;
27555, 55113;
138, 279;
25570, 51143;
15009, 30021;
16185, 32373;
13668, 27339;
11199, 22401;
20489, 40981;
22342, 44687;
1715, 3433;
1202, 2407;
4817, 9637;
2384, 4771;
22451, 44905;
22935, 45873;
17587, 35177;
18742, 37487;
24983, 49969;
100, 203;
7965, 15933;
916, 1835;
5326, 10655;
9823, 19649;
24207, 48417;
21893, 43789;
8069, 16141;
19599, 39201;
7492, 14987;
936, 1875;
15725, 31453;
26736, 53475;
16662, 33327;
7750, 15503;
13502, 27007;
1979, 3961;
156, 315;
9235, 18473;
9340, 18683;
16260, 32523;
17301, 34605;
1251, 2505;
2041, 4085;
7638, 15279;
25225, 50453;
29375, 58753;
5019, 10041;
14140, 28283;
2477, 4957;
10888, 21779;
20191, 40385;
7890, 15783;
17160, 34323;
1084, 2171;
3998, 7999;
1132, 2267;
27604, 55211;
8902, 17807;
14991, 29985;
19716, 39435;
6439, 12881;
14186, 28375;
27918, 55839;
4490, 8983;
12242, 24487;
24049, 48101;
29723, 59449;
23991, 47985;
13193, 26389;
34, 71;
13478, 26959;
15698, 31399;
4421, 8845;
17843, 35689;
26890, 53783;
2263, 4529;
26855, 53713;
13182, 26367;
22487, 44977;
20773, 41549;
6686, 13375;
10422, 20847;
26580, 53163;
13175, 26353;
6282, 12567;
10380, 20763;
