X, Y, Z
16, 6585, 20271;
28, 29785, 90927;
80, 3442, 23130;
81, 1736, 18334;
72, 5316, 26320;
54, 22146, 72274;
64, 1962, 14082;
32, 8681, 28095;
11, 29495, 88731;
75, 5972, 29170;
37, 239, 3459;
79, 13749, 53733;
55, 18041, 60177;
98, 8313, 44151;
69, 17603, 62335;
42, 27311, 85465;
32, 16423, 51321;
78, 7533, 34771;
95, 20476, 79482;
53, 2111, 11955;
95, 26256, 96822;
3, 21506, 64540;
70, 293, 10683;
15, 16160, 48934;
8, 6457, 19503;
33, 19677, 61213;
43, 15115, 49047;
1, 26114, 78348;
21, 25946, 78724;
76, 19447, 69897;
79, 5744, 29718;
28, 11750, 36822;
13, 10847, 32883;
86, 6429, 34083;
51, 28299, 90103;
95, 18612, 73890;
62, 3688, 18756;
35, 6256, 21222;
18, 15749, 47899;
7, 7912, 23838;
78, 17098, 63466;
40, 13030, 42294;
15, 18686, 56512;
1, 24592, 73782;
98, 6283, 38061;
80, 3784, 24156;
57, 7814, 29944;
39, 25424, 79318;
42, 25834, 81034;
82, 6194, 32034;
76, 24612, 85392;
19, 22495, 68211;
2, 13781, 41355;
14, 22934, 69198;
31, 24787, 76287;
59, 17799, 60363;
25, 22129, 67641;
80, 9273, 40623;
60, 4352, 20260;
67, 23849, 80529;
89, 9109, 43173;
8, 2228, 6816;
86, 15117, 60147;
18, 6454, 20014;
12, 12367, 37393;
72, 8052, 34528;
60, 4049, 19351;
21, 11831, 36379;
89, 14942, 60672;
1, 8506, 25524;
55, 790, 8424;
74, 19270, 68766;
60, 28342, 92230;
69, 20380, 70666;
43, 745, 5937;
67, 10899, 41679;
2, 2255, 6777;
54, 11650, 40786;
74, 15886, 58614;
61, 29152, 94902;
18, 278, 1486;
50, 1962, 10890;
76, 23705, 82671;
9, 25349, 76213;
67, 11659, 43959;
58, 19749, 65979;
94, 12374, 54798;
38, 23661, 73875;
68, 23073, 78471;
24, 14296, 44044;
88, 22354, 82554;
53, 10647, 37563;
18, 21329, 64639;
48, 17660, 57592;
23, 28047, 85203;
76, 9110, 38886;
69, 2712, 17662;
18, 2158, 7126;
95, 6533, 37653;
79, 8593, 38265;
24, 21732, 66352;
46, 3871, 15849;
77, 26779, 92199;
54, 14660, 49816;
8, 6971, 21045;
91, 13237, 56277;
6, 1666, 5074;
93, 20349, 78349;
97, 788, 21186;
81, 27368, 95230;
54, 923, 8605;
55, 880, 8694;
9, 2284, 7018;
39, 534, 4648;
7, 3483, 10551;
72, 10531, 41965;
51, 10738, 37420;
25, 27888, 84918;
88, 8174, 40014;
2, 13843, 41541;
13, 26763, 80631;
15, 28154, 84916;
2, 9793, 29391;
4, 9613, 28875;
34, 8399, 27513;
12, 3855, 11857;
50, 11831, 40497;
74, 20293, 71835;
57, 11530, 41092;
41, 27099, 84663;
28, 29669, 90579;
78, 19715, 71317;
84, 23100, 83416;
52, 16479, 54849;
70, 15958, 57678;
82, 15137, 58863;
22, 11417, 35223;
13, 25969, 78249;
35, 3080, 11694;
84, 18703, 70225;
2, 29706, 89130;
67, 9, 9009;
13, 3949, 12189;
89, 6607, 35667;
42, 12458, 40906;
88, 23989, 87459;
31, 1595, 6711;
2, 29817, 89463;
32, 18250, 56802;
85, 14133, 56853;
23, 8156, 25530;
10, 17591, 52977;
84, 1518, 18670;
59, 27872, 90582;
26, 22030, 67446;
46, 27466, 86634;
44, 798, 6270;
69, 13613, 50365;
39, 15684, 50098;
72, 24196, 82960;
31, 3157, 11397;
72, 23147, 79813;
80, 18228, 67488;
37, 6860, 23322;
43, 1701, 8805;
13, 21306, 64260;
37, 5255, 18507;
14, 25373, 76515;
55, 18193, 60633;
98, 11024, 52284;
14, 8540, 26016;
23, 20871, 63675;
81, 23841, 84649;
74, 15029, 56043;
13, 16837, 50853;
11, 14253, 43005;
33, 27794, 85564;
21, 12487, 38347;
62, 28232, 92388;
85, 20293, 75333;
72, 25044, 85504;
93, 27190, 98872;
25, 24671, 75267;
43, 15003, 48711;
94, 346, 18714;
7, 6857, 20673;
36, 2504, 10108;
57, 21774, 71824;
4, 1550, 4686;
70, 17815, 63249;
79, 6902, 33192;
10, 21393, 64383;
63, 12778, 46276;
59, 1423, 11235;
22, 1663, 5961;
32, 13612, 42888;
84, 22111, 80449;
12, 9713, 29431;
62, 15212, 53328;
87, 889, 17809;
5, 20194, 60636;
25, 2770, 9564;
12, 29676, 89320;
78, 25383, 88321;
82, 2714, 21594;
77, 27036, 92970;
36, 15073, 47815;
90, 29818, 105658;
78, 28900, 98872;
78, 20876, 74800;
95, 28273, 102873;
48, 969, 7519;
82, 5583, 30201;
89, 1074, 19068;
42, 20919, 66289;
27, 2558, 9136;
33, 16032, 50278;
95, 7669, 41061;
25, 1040, 4374;
28, 2026, 7650;
23, 13903, 42771;
48, 3724, 15784;
76, 1934, 17358;
49, 28846, 91344;
41, 29192, 90942;
2, 24966, 74910;
74, 14743, 55185;
51, 1635, 10111;
79, 1451, 16839;
10, 22211, 66837;
49, 17223, 56475;
88, 11891, 51165;
94, 26700, 97776;
87, 19192, 72718;
43, 1738, 8916;
1, 14382, 43152;
74, 2228, 17640;
1, 28719, 86163;
49, 23299, 74703;
72, 12918, 49126;
57, 12766, 44800;
51, 22085, 71461;
42, 17449, 55879;
40, 7235, 24909;
58, 16251, 55485;
26, 17258, 53130;
96, 9252, 46192;
44, 25888, 81540;
79, 8815, 38931;
76, 23716, 82704;
31, 23844, 73458;
72, 15788, 57736;
24, 13649, 42103;
53, 7757, 28893;
57, 842, 9028;
28, 14362, 44658;
38, 24815, 77337;
82, 9360, 41532;
8, 26925, 80907;
98, 14514, 62754;
80, 4296, 25692;
21, 17392, 53062;
83, 1831, 19275;
53, 13901, 47325;
21, 608, 2710;
30, 29121, 89167;
9, 29125, 87541;
29, 19164, 59178;
36, 9135, 30001;
21, 1917, 6637;
96, 17003, 69445;
27, 5090, 16732;
3, 25538, 76636;
45, 5424, 20326;
68, 637, 11163;
91, 25334, 92568;
45, 1512, 8590;
10, 9757, 29475;
1, 18407, 55227;
53, 15938, 53436;
92, 9783, 46281;
53, 2023, 11691;
53, 742, 7848;
79, 12550, 50136;
15, 28501, 85957;
87, 17176, 66670;
23, 20076, 61290;
71, 27670, 93096;
77, 21215, 75507;
29, 17646, 54624;
45, 12976, 42982;
66, 13911, 50449;
92, 13302, 56838;
7, 3000, 9102;
99, 428, 20890;
2, 11590, 34782;
71, 8428, 35370;
81, 17773, 66445;
93, 19854, 76864;
12, 21874, 65914;
4, 26571, 79749;
65, 2086, 14712;
45, 20823, 66523;
3, 1485, 4477;
27, 1439, 5779;
19, 9360, 28806;
51, 20799, 67603;
83, 25119, 89139;
37, 9447, 31083;
95, 27275, 99879;
16, 27967, 84417;
3, 18339, 55039;
46, 3640, 15156;
46, 25997, 82227;
92, 709, 19059;
95, 12648, 55998;
20, 4250, 13554;
33, 2863, 10771;
68, 26931, 90045;
87, 3808, 26566;
94, 23577, 88407;
30, 942, 4630;
56, 2353, 13335;
58, 10644, 38664;
2, 27509, 82539;
51, 3164, 14698;
49, 791, 7179;
75, 26015, 89299;
78, 18594, 67954;
16, 19517, 59067;
96, 18323, 73405;
52, 21039, 68529;
91, 8521, 42129;
73, 8299, 35559;
45, 10249, 34801;
66, 2567, 16417;
93, 11077, 50533;
45, 23202, 73660;
53, 22814, 74064;
47, 25600, 81222;
80, 22823, 81273;
21, 3828, 12370;
85, 1132, 17850;
20, 29571, 89517;
35, 24243, 75183;
91, 15430, 62856;
77, 13569, 52569;
47, 22800, 72822;
48, 1376, 8740;
59, 17617, 59817;
62, 5088, 22956;
34, 25274, 78138;
13, 20700, 62442;
46, 13986, 46194;
29, 29822, 91152;
30, 1913, 7543;
10, 29573, 88923;
46, 25627, 81117;
37, 12614, 40584;
57, 29079, 93739;
60, 4849, 21751;
99, 19568, 78310;
33, 22550, 69832;
1, 1571, 4719;
63, 23656, 78910;
5, 21546, 64692;
91, 9920, 46326;
66, 9025, 35791;
50, 26981, 85947;
80, 19879, 72441;
22, 22410, 68202;
32, 29400, 90252;
2, 29720, 89172;
6, 20888, 62740;
5, 15790, 47424;
18, 29730, 89842;
70, 23526, 80382;
72, 26498, 89866;
49, 12763, 43095;
44, 576, 5604;
54, 1208, 9460;
50, 2318, 11958;
63, 20146, 68380;
54, 27107, 87157;
7, 17768, 53406;
26, 13433, 41655;
0, 2073, 6223;
91, 22996, 85554;
72, 18535, 65977;
42, 28981, 90475;
80, 20907, 75525;
19, 9070, 27936;
21, 25626, 77764;
7, 19526, 58680;
72, 14166, 52870;
93, 19230, 74992;
38, 25960, 80772;
70, 18133, 64203;
67, 28092, 93258;
70, 26858, 90378;
60, 26989, 88171;
98, 21472, 83628;
52, 21700, 70512;
64, 22759, 76473;
13, 4603, 14151;
92, 12472, 54348;
83, 2374, 20904;
24, 15297, 47047;
76, 2580, 19296;
62, 3458, 18066;
35, 20881, 65097;
13, 18231, 55035;
14, 23152, 69852;
5, 1463, 4443;
79, 23017, 81537;
38, 26268, 81696;
95, 3581, 28797;
71, 26788, 90450;
26, 16641, 51279;
60, 11095, 40489;
25, 9818, 30708;
65, 20970, 71364;
49, 29830, 94296;
82, 3428, 23736;
7, 24668, 74106;
67, 4607, 22803;
97, 23956, 90690;
82, 1697, 18543;
48, 18569, 60319;
95, 26283, 96903;
70, 23870, 81414;
95, 15682, 65100;
37, 8095, 27027;
57, 908, 9226;
25, 6410, 20484;
29, 8301, 26589;
11, 3854, 11808;
98, 27283, 101061;
47, 6003, 22431;
87, 1903, 20851;
95, 11642, 52980;
44, 5253, 19635;
8, 11365, 34227;
98, 565, 20907;
84, 21306, 78034;
76, 27003, 92565;
64, 13765, 49491;
27, 23331, 71455;
85, 16092, 62730;
96, 2402, 25642;
10, 10215, 30849;
77, 7025, 32937;
20, 2463, 8193;
98, 25723, 96381;
28, 27157, 83043;
16, 441, 1839;
24, 27638, 84070;
23, 9180, 28602;
40, 782, 5550;
35, 1963, 8343;
39, 21004, 66058;
20, 25069, 76011;
47, 5509, 20949;
71, 17033, 61185;
13, 16443, 49671;
29, 13036, 40794;
0, 11422, 34270;
22, 5035, 16077;
39, 1939, 8863;
64, 2105, 14511;
41, 22645, 71301;
97, 10492, 50298;
21, 19033, 57985;
91, 8907, 43287;
26, 6807, 21777;
23, 19834, 60564;
73, 20614, 72504;
63, 666, 9940;
92, 8838, 43446;
12, 2490, 7762;
65, 11332, 42450;
98, 3315, 29157;
72, 23097, 79663;
66, 5218, 24370;
29, 11892, 37362;
2, 18215, 54657;
53, 17050, 56772;
75, 4782, 25600;
87, 11051, 48295;
3, 18459, 55399;
54, 8198, 30430;
4, 10476, 31464;
81, 3632, 24022;
5, 9945, 29889;
98, 417, 20463;
16, 23295, 70401;
98, 16255, 67977;
72, 782, 12718;
25, 22463, 68643;
91, 15584, 63318;
25, 22473, 68673;
11, 10107, 30567;
94, 1884, 23328;
72, 29464, 98764;
97, 9458, 47196;
85, 7828, 37938;
67, 13413, 49221;
68, 839, 11769;
4, 2402, 7242;
83, 16100, 62082;
86, 8301, 39699;
1, 29856, 89574;
40, 27253, 84963;
91, 10647, 48507;
52, 16441, 54735;
99, 16491, 69079;
72, 4379, 23509;
59, 22574, 74688;
77, 20052, 72018;
30, 4738, 16018;
32, 568, 3756;
88, 1278, 19326;
2, 27835, 83517;
90, 22996, 85192;
21, 18741, 57109;
27, 25521, 78025;
3, 8546, 25660;
97, 10469, 50229;
26, 20909, 64083;
60, 10692, 39280;
65, 8878, 35088;
69, 26188, 88090;
50, 7153, 26463;
9, 26376, 79294;
80, 29689, 101871;
3, 19763, 59311;
15, 16772, 50770;
64, 11809, 43623;
86, 21009, 77823;
26, 15835, 48861;
85, 18848, 70998;
71, 3338, 20100;
19, 28601, 86529;
86, 24086, 87054;
33, 19887, 61843;
77, 21902, 77568;
35, 550, 4104;
65, 2507, 15975;
18, 28115, 84997;
63, 13776, 49270;
35, 7555, 25119;
33, 4981, 17125;
43, 5471, 20115;
1, 8389, 25173;
4, 24942, 74862;
80, 21668, 77808;
91, 3931, 28359;
77, 1717, 17013;
94, 73, 17895;
30, 3706, 12922;
44, 27396, 86064;
48, 23997, 76603;
95, 21930, 83844;
67, 6703, 29091;
73, 12361, 47745;
16, 1312, 4452;
29, 28411, 86919;
39, 27022, 84112;
52, 25680, 82452;
15, 14257, 43225;
95, 3034, 27156;
72, 22390, 77542;
40, 24047, 75345;
11, 28794, 86628;
81, 4266, 25924;
75, 18522, 66820;
16, 27187, 82077;
3, 18201, 54625;
28, 2112, 7908;
3, 6850, 20572;
54, 16604, 55648;
97, 15950, 66672;
79, 104, 12798;
57, 26567, 86203;
21, 18655, 56851;
90, 8622, 42070;
92, 13918, 58686;
74, 5019, 26013;
8, 11491, 34605;
31, 15907, 49647;
20, 4948, 15648;
48, 11774, 39934;
80, 16324, 61776;
44, 27241, 85599;
47, 963, 7311;
17, 8906, 27300;
6, 12563, 37765;
68, 24467, 82653;
53, 24018, 77676;
38, 14952, 47748;
35, 4500, 15954;
74, 24964, 85848;
51, 14848, 49750;
34, 27225, 83991;
10, 10175, 30729;
3, 14198, 42616;
78, 17280, 64012;
25, 126, 1632;
9, 5184, 15718;
2, 29815, 89457;
51, 1432, 9502;
69, 23952, 81382;
16, 18039, 54633;
22, 4071, 13185;
78, 1857, 17743;
20, 8633, 26703;
85, 16632, 64350;
47, 19963, 64311;
51, 25546, 81844;
56, 20729, 68463;
70, 11788, 45168;
50, 781, 7347;
12, 23350, 70342;
34, 27058, 83490;
83, 17454, 66144;
72, 26121, 88735;
65, 21705, 73569;
67, 2652, 16938;
45, 1375, 8179;
19, 21777, 66057;
74, 28862, 97542;
50, 29186, 92562;
72, 3474, 20794;
26, 4570, 15066;
29, 29892, 91362;
56, 20674, 68298;
85, 21328, 78438;
32, 28734, 88254;
1, 2172, 6522;
79, 26705, 92601;
53, 24598, 79416;
20, 5096, 16092;
40, 16893, 53883;
4, 1862, 5622;
92, 1459, 21309;
52, 2267, 12213;
18, 592, 2428;
28, 5002, 16578;
35, 25066, 77652;
85, 11243, 48183;
12, 8693, 26371;
99, 1790, 24976;
27, 24342, 74488;
72, 25410, 86602;
50, 27996, 88992;
20, 25557, 77475;
15, 11392, 34630;
73, 9948, 40506;
81, 29036, 100234;
82, 6949, 34299;
67, 10491, 40455;
43, 22795, 72087;
74, 6144, 29388;
35, 666, 4452;
23, 23689, 72129;
74, 28404, 96168;
53, 5221, 21285;
63, 9459, 36319;
8, 19683, 59181;
96, 26896, 99124;
23, 8157, 25533;
61, 25220, 83106;
3, 8693, 26101;
59, 7085, 28221;
52, 1567, 10113;
94, 25010, 92706;
51, 6752, 25462;
17, 18282, 55428;
1, 469, 1413;
1, 20346, 61044;
24, 20470, 62566;
99, 446, 20944;
27, 26908, 82186;
49, 28651, 90759;
78, 19521, 70735;
59, 28018, 91020;
35, 10759, 34731;
90, 2423, 23473;
58, 27900, 90432;
70, 17186, 61362;
40, 5917, 20955;
9, 24421, 73429;
34, 6297, 21207;
27, 10688, 33526;
12, 983, 3241;
39, 7794, 26428;
65, 17081, 59697;
38, 24337, 75903;
67, 12579, 46719;
34, 16684, 52368;
68, 16567, 58953;
49, 12334, 41808;
98, 2531, 26805;
12, 26245, 79027;
63, 28190, 92512;
98, 16900, 69912;
90, 12142, 52630;
13, 14214, 42984;
80, 8494, 38286;
96, 10709, 50563;
46, 22030, 70326;
9, 10186, 30724;
50, 28507, 90525;
97, 21941, 84645;
97, 29057, 105993;
12, 1534, 4894;
40, 16846, 53742;
55, 17677, 59085;
45, 12664, 42046;
77, 23656, 82830;
76, 14818, 56010;
35, 4379, 15591;
37, 19995, 62727;
12, 8541, 25915;
92, 26023, 95001;
43, 17776, 57030;
32, 9347, 30093;
56, 14281, 49119;
56, 17507, 58797;
86, 2161, 21279;
96, 9022, 45502;
61, 16299, 56343;
38, 6924, 23664;
59, 5079, 22203;
68, 1743, 14481;
22, 13974, 42894;
57, 6352, 25558;
38, 2047, 9033;
42, 26155, 81997;
53, 26674, 85644;
83, 19341, 71805;
86, 20059, 74973;
22, 3901, 12675;
6, 11960, 35956;
67, 25689, 86049;
44, 28174, 88398;
4, 13155, 39501;
72, 890, 13042;
44, 19452, 62232;
14, 22612, 68232;
14, 25582, 77142;
64, 24408, 81420;
47, 1904, 10134;
61, 9992, 37422;
20, 24230, 73494;
71, 27468, 92490;
69, 27752, 92782;
12, 27228, 81976;
27, 10820, 33922;
32, 223, 2721;
74, 9670, 39966;
6, 20821, 62539;
15, 758, 2728;
21, 1410, 5116;
79, 2083, 18735;
40, 8779, 29541;
56, 5855, 23841;
69, 21750, 74776;
90, 13899, 57901;
93, 877, 19933;
12, 4757, 14563;
16, 7668, 23520;
45, 5566, 20752;
1, 4924, 14778;
16, 2161, 6999;
95, 13958, 59928;
42, 4913, 18271;
14, 20747, 62637;
14, 26370, 79506;
63, 25244, 83674;
6, 14091, 42349;
50, 21894, 70686;
90, 25002, 91210;
51, 10680, 37246;
37, 2536, 10350;
87, 23336, 85150;
50, 20735, 67209;
19, 1906, 6444;
43, 18713, 59841;
5, 5826, 17532;
44, 1371, 7989;
66, 27637, 91627;
79, 27426, 94764;
67, 24571, 82695;
48, 10380, 35752;
72, 3200, 19972;
62, 29755, 96957;
94, 10699, 49773;
35, 1317, 6405;
8, 998, 3126;
17, 6863, 21171;
29, 19199, 59283;
89, 23788, 87210;
60, 17166, 58702;
4, 15360, 46116;
3, 5816, 17470;
27, 12666, 39460;
32, 20851, 64605;
28, 8225, 26247;
37, 17644, 55674;
47, 1182, 7968;
71, 23974, 82008;
58, 3899, 18429;
54, 10979, 38773;
35, 2794, 10836;
86, 7623, 37665;
93, 13705, 58417;
37, 17339, 54759;
74, 28004, 94968;
35, 16, 2502;
76, 22524, 79128;
78, 2276, 19000;
39, 26119, 81403;
99, 11082, 52852;
77, 22711, 79995;
56, 6821, 26739;
71, 11327, 44067;
28, 20309, 62499;
80, 2964, 21696;
72, 14486, 53830;
27, 12656, 39430;
48, 17828, 58096;
42, 23197, 73123;
93, 2596, 25090;
8, 11632, 35028;
56, 447, 7617;
46, 14996, 49224;
7, 14096, 42390;
10, 1496, 4692;
86, 20928, 77580;
23, 28523, 86631;
24, 20463, 62545;
1, 17528, 52590;
31, 28374, 87048;
84, 8397, 39307;
66, 1707, 13837;
67, 2752, 17238;
38, 24005, 74907;
11, 16019, 48303;
83, 14081, 56025;
20, 15383, 46953;
51, 8036, 29314;
11, 13648, 41190;
35, 16130, 50844;
60, 15496, 53692;
61, 12574, 45168;
98, 29382, 107358;
73, 10130, 41052;
9, 26192, 78742;
80, 23922, 84570;
71, 14958, 54960;
43, 7404, 25914;
6, 1857, 5647;
48, 23666, 75610;
89, 18932, 72642;
85, 14108, 56778;
93, 11362, 51388;
28, 17479, 54009;
74, 19896, 70644;
74, 4739, 25173;
66, 27276, 90544;
44, 18860, 60456;
13, 9551, 28995;
36, 14422, 45862;
26, 7887, 25017;
28, 20590, 63342;
49, 719, 6963;
14, 22303, 67305;
17, 8443, 25911;
22, 19443, 59301;
72, 6471, 29785;
49, 19259, 62583;
36, 1367, 6697;
47, 28592, 90198;
80, 15701, 59907;
32, 554, 3714;
32, 14622, 45918;
99, 12209, 56233;
17, 2142, 7008;
7, 27907, 83823;
4, 28413, 85275;
73, 4373, 23781;
29, 11529, 36273;
89, 25869, 93453;
95, 23446, 88392;
48, 19087, 61873;
63, 2020, 14002;
54, 2087, 12097;
80, 16897, 63495;
49, 13543, 45435;
77, 29102, 99168;
18, 1873, 6271;
49, 20549, 66453;
10, 2935, 9009;
34, 9739, 31533;
83, 1120, 17142;
89, 19427, 74127;
64, 1918, 13950;
68, 24852, 83808;
7, 19070, 57312;
97, 3659, 29799;
70, 2704, 17916;
6, 1204, 3688;
12, 22184, 66844;
82, 20837, 75963;
56, 15155, 51741;
92, 3147, 26373;
6, 12334, 37078;
65, 19466, 66852;
41, 6468, 22770;
26, 2079, 7593;
93, 4406, 30520;
15, 7816, 23902;
65, 1152, 11910;
93, 20390, 78472;
44, 24378, 77010;
35, 3873, 14073;
40, 21052, 66360;
87, 18493, 70621;
99, 29573, 108325;
90, 5773, 33523;
73, 15838, 58176;
89, 25269, 91653;
70, 13242, 49530;
26, 15475, 47781;
4, 10593, 31815;
68, 5601, 26055;
95, 1309, 21981;
74, 17396, 63144;
57, 11732, 41698;
41, 26697, 83457;
4, 20232, 60732;
76, 10273, 42375;
66, 1708, 13840;
27, 21674, 66484;
59, 28552, 92622;
7, 26752, 80358;
57, 3118, 15856;
42, 2371, 10645;
80, 10173, 43323;
89, 9611, 44679;
31, 8214, 26568;
70, 13897, 51495;
51, 1341, 9229;
83, 3376, 23910;
34, 4594, 16098;
88, 20100, 75792;
59, 6577, 26697;
80, 5970, 30714;
32, 135, 2457;
97, 16304, 67734;
0, 12151, 36457;
62, 4678, 21726;
42, 2412, 10768;
64, 7437, 30507;
42, 207, 4153;
49, 2599, 12603;
98, 122, 19578;
85, 22800, 82854;
15, 8286, 25312;
81, 16195, 61711;
42, 24098, 75826;
85, 23007, 83475;
13, 4862, 14928;
32, 3772, 13368;
43, 16919, 54459;
67, 24025, 81057;
30, 27675, 84829;
6, 21224, 63748;
82, 11487, 47913;
10, 12300, 37104;
90, 23623, 87073;
48, 13793, 45991;
34, 13927, 44097;
40, 11453, 37563;
49, 20199, 65403;
1, 4917, 14757;
8, 21420, 64392;
88, 5603, 32301;
2, 25268, 75816;
72, 13415, 50617;
81, 530, 14716;
17, 14252, 43338;
57, 12860, 45082;
16, 23917, 72267;
44, 465, 5271;
5, 23799, 71451;
30, 27742, 85030;
22, 10544, 32604;
13, 659, 2319;
36, 5080, 17836;
72, 15570, 57082;
95, 13839, 59571;
71, 18391, 65259;
62, 16919, 58449;
27, 1182, 5008;
31, 8796, 28314;
83, 16257, 62553;
36, 2481, 10039;
18, 25250, 76402;
91, 22749, 84813;
43, 10120, 34062;
88, 2086, 21750;
61, 3085, 16701;
32, 11596, 36840;
61, 3703, 18555;
80, 9449, 41151;
8, 29925, 89907;
42, 18648, 59476;
93, 9197, 44893;
83, 20996, 76770;
90, 18563, 71893;
66, 26274, 87538;
30, 22812, 70240;
20, 17521, 53367;
51, 12820, 43666;
56, 24640, 80196;
49, 20813, 67245;
33, 7858, 25756;
15, 29978, 90388;
30, 2622, 9670;
16, 8795, 26901;
21, 10873, 33505;
9, 21993, 66145;
47, 24728, 78606;
13, 25908, 78066;
26, 27952, 85212;
56, 21034, 69378;
89, 833, 18345;
88, 5723, 32661;
68, 3187, 18813;
61, 10587, 39207;
59, 671, 8979;
41, 18024, 57438;
24, 657, 3127;
28, 13645, 42507;
55, 1757, 11325;
72, 6790, 30742;
14, 8975, 27321;
62, 4773, 22011;
1, 1623, 4875;
87, 7413, 37381;
48, 28453, 89971;
90, 6492, 35680;
2, 28226, 84690;
3, 23942, 71848;
93, 14911, 62035;
49, 9535, 33411;
3, 17153, 51481;
83, 25121, 89145;
18, 7806, 24070;
28, 11888, 37236;
8, 12993, 39111;
31, 26434, 81228;
92, 16692, 67008;
53, 12771, 43935;
89, 14110, 58176;
87, 28791, 101515;
40, 26475, 82629;
90, 27105, 97519;
68, 4524, 22824;
6, 10468, 31480;
42, 23134, 72934;
17, 22152, 67038;
21, 6255, 19651;
55, 5056, 21222;
79, 7166, 33984;
47, 5705, 21537;
44, 21091, 67149;
83, 3285, 23637;
55, 27503, 88563;
33, 3689, 13249;
51, 25588, 81970;
65, 6404, 27666;
39, 6536, 22654;
54, 25473, 82255;
37, 19335, 60747;
41, 1726, 8544;
8, 11607, 34953;
99, 16894, 70288;
64, 28144, 92628;
85, 24204, 87066;
46, 22683, 72285;
13, 370, 1452;
76, 29433, 99855;
95, 9096, 45342;
50, 15432, 51300;
19, 22272, 67542;
54, 29154, 93298;
25, 25570, 77964;
21, 2006, 6904;
40, 1236, 6912;
86, 28123, 99165;
3, 6492, 19498;
54, 10162, 36322;
26, 16489, 50823;
9, 8844, 26698;
49, 22990, 73776;
64, 26076, 86424;
22, 11585, 35727;
7, 8334, 25104;
87, 22435, 82447;
94, 583, 19425;
57, 3696, 17590;
18, 14831, 45145;
19, 12890, 39396;
33, 15725, 49357;
14, 1, 399;
78, 16049, 60319;
2, 5894, 17694;
21, 29176, 88414;
97, 2400, 26022;
23, 2379, 8199;
75, 12495, 48739;
21, 2377, 8017;
34, 27630, 85206;
2, 23335, 70017;
59, 26990, 87936;
46, 16373, 53355;
64, 2945, 17031;
24, 2339, 8173;
15, 1156, 3922;
0, 14915, 44749;
99, 28881, 106249;
38, 736, 5100;
97, 18948, 75666;
53, 26800, 86022;
78, 2060, 18352;
99, 26934, 100408;
71, 8916, 36834;
7, 15467, 46503;
9, 14451, 43519;
9, 5838, 17680;
63, 11569, 42649;
7, 11225, 33777;
52, 971, 8325;
76, 8326, 36534;
61, 17208, 59070;
85, 1810, 19884;
23, 23724, 72234;
13, 18433, 55641;
28, 4253, 14331;
5, 7266, 21852;
96, 4405, 31651;
52, 2084, 11664;
62, 808, 10116;
61, 11465, 41841;
72, 27799, 93769;
39, 15242, 48772;
63, 2867, 16543;
16, 12412, 37752;
34, 21925, 68091;
69, 13601, 50329;
57, 11310, 40432;
61, 27489, 89913;
41, 1882, 9012;
8, 20619, 61989;
19, 23835, 72231;
1, 20887, 62667;
47, 25411, 80655;
24, 29870, 90766;
86, 14610, 58626;
21, 15340, 46906;
13, 13857, 41913;
57, 9572, 35218;
7, 2701, 8205;
54, 27748, 89080;
88, 29768, 104796;
52, 28667, 91413;
84, 26077, 92347;
3, 25273, 75841;
79, 26675, 92511;
50, 10166, 35502;
42, 13764, 44824;
47, 213, 5061;
59, 28718, 93120;
8, 29258, 87906;
0, 16345, 49039;
72, 2602, 18178;
90, 5850, 33754;
22, 9314, 28914;
59, 6935, 27771;
76, 12827, 50037;
24, 1660, 6136;
37, 28188, 87306;
4, 13710, 41166;
68, 7329, 31239;
92, 2926, 25710;
92, 22410, 84162;
54, 13537, 46447;
80, 22183, 79353;
24, 2237, 7867;
26, 3378, 11490;
41, 9926, 33144;
33, 16541, 51805;
89, 25738, 93060;
47, 1887, 10083;
31, 393, 3105;
12, 2089, 6559;
84, 26265, 92911;
54, 16525, 55411;
31, 29833, 91425;
79, 1905, 18201;
36, 9733, 31795;
78, 24080, 84412;
89, 2233, 22545;
87, 13202, 54748;
34, 20922, 65082;
26, 20590, 63126;
95, 4385, 31209;
4, 2061, 6219;
0, 18681, 56047;
3, 26096, 78310;
20, 27483, 83253;
95, 10516, 49602;
78, 983, 15121;
62, 27733, 90891;
91, 4118, 28920;
5, 6721, 20217;
96, 19390, 76606;
7, 11599, 34899;
0, 29590, 88774;
54, 11296, 39724;
81, 17387, 65287;
39, 15108, 48370;
0, 13874, 41626;
23, 26304, 79974;
41, 16878, 54000;
87, 3215, 24787;
32, 9428, 30336;
39, 870, 5656;
44, 253, 4635;
39, 27260, 84826;
30, 2429, 9091;
86, 16650, 64746;
26, 25698, 78450;
4, 11087, 33297;
56, 19390, 64446;
45, 2264, 10846;
21, 11288, 34750;
94, 16382, 66822;
71, 24896, 84774;
32, 25264, 77844;
66, 8498, 34210;
19, 4211, 13359;
96, 3645, 29371;
92, 14758, 61206;
24, 13413, 41395;
94, 10251, 48429;
71, 213, 10725;
5, 28803, 86463;
43, 11193, 37281;
16, 12825, 38991;
7, 1610, 4932;
33, 17986, 56140;
42, 11019, 36589;
39, 18019, 57103;
43, 29077, 90933;
83, 2708, 21906;
58, 3214, 16374;
74, 1444, 15288;
53, 7134, 27024;
45, 8797, 30445;
21, 2373, 8005;
18, 1545, 5287;
89, 2503, 23355;
83, 23605, 84597;
99, 12682, 57652;
